,doc_id,doc_title,book_link,generic_authors,coventry_authors,abstract,published_on,keywords
book_291,book_291,Revisiting the evidence of earnings management prior to merger announcements: an application of Benford’s law,https://pureportal.coventry.ac.uk/en/publications/revisiting-the-evidence-of-earnings-management-prior-to-merger-an,"['Thai Nguyen', ' Hanh Thi My Le (Editor)', ' Nguyet Nguyen (Editor)', ' Chau Duong (Editor)']",{'Thai Nguyen': 'https://pureportal.coventry.ac.uk/en/persons/thai-nguyen'},"The most popularly-used Jones-type models are currently subjected to fierce criticism. This paper revisits the evidence suggesting share-financed acquirers engage in earnings management prior to announcing mergers to know whether the existing evidence indeed suggests the presence of earnings management or it is just the result of measurement errors in the earnings management detection models. This paper shows that the first digits of figures reported in the financial statements of share-financed acquirers prior to the merger announcements are distributed remarkably differently from what are expected under Benford’s Law. Therefore, share-financed acquirers do indeed manage earnings before announcing deals.",26 Dec 2018,"['earnings management', ""Benford's Law"", 'mergers and acquisitions']"
book_292,book_292,Risks Associated with Payment Banks and Mobile-Based Money Platforms,https://pureportal.coventry.ac.uk/en/publications/risks-associated-with-payment-banks-and-mobile-based-money-platfo,"['Hafiz Ubaid Ur Rahman Rahmani', ' Barjoyai Bardai', ' Abdoulrahman Aljounaidi Mhd Ramez']",{'Hafiz Ubaid Ur Rahman Rahmani': 'https://pureportal.coventry.ac.uk/en/persons/hafiz-rahmani-rahmani'},"Mobile-based money platforms are considered as one of the determinants of economic development in most developing and under developing countries of the world. The usefulness of payment banks and other mobile-based money platforms could be traced to the fact that it provides easy access to money, ease money sending difficulties, the speed of sending and receiving money, mobile access, and other usefulness (Cudjoe, A., Anim, P., & Nyan, J., 2015). However, there are certain risks that are associated with payment banks and mobile-based money platforms that most of the previous authors never write upon. This is a research gap observed. This research intended to close the gaps by presenting a complete journal report on not only related to the benefits, but the risks related to the payment banks and mobile-based money platforms. This paper discovered that the risks associated with payment banks and mobile- based money platforms pose a minimal threat and that was the reason why previous authors decided not to mention through its data collection methodology of 400 questionnaires collated from respondents. That is customers will continue to patronize mobile-based money platforms despite its minimal threat.",20 Nov 2018,"['unbanked', 'banked', 'perceived risk', 'variables', 'mobile-based money platforms,', 'payment banks']"
book_293,book_293,Self-determination and service performance: the roles of service adaptiveness and openness to experience,https://pureportal.coventry.ac.uk/en/publications/self-determination-and-service-performance-the-roles-of-service-a,"['Weiyue Wang', ' Hongwei He', ' Sunil Sahadev', ' Wei Song']",{'Wei Song': 'https://pureportal.coventry.ac.uk/en/persons/wei-song'},,14 Jun 2018,['No keywords']
book_294,book_294,Socially Responsible Investment,https://pureportal.coventry.ac.uk/en/publications/socially-responsible-investment,"['Audrey Paterson', ' Mohamed Elshinawy', ' Oluwagbenga Adamolekun', '  Stephen Rae', ' Mohamed Sherif']",{},,Jan 2018,['No keywords']
book_295,book_295,Sukuk as a Financial Asset: A Review,https://pureportal.coventry.ac.uk/en/publications/sukuk-as-a-financial-asset-a-review,"['Mohammed Hossain', ' Hamid Uddin', ' Sarkar Kabir']",{'Sarkar Kabir': 'https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir'},"Sukuk, an Islamic replication of bond, is a structured financial instrument innovated about two decades ago in line with the historical development of Islamic finance. Despite the phenomenal growth of global sukuk market, the academic research on sukuk is yet at infancy stage, particularly because scholars did not deeply look at this remarkable financial innovation. As of now, there is a growing body of sukuk literature that mostly based on qualitative analysis addressing shari’ah guidelines, ethical matters, distinguishing features, contractual mechanisms and structures of sukuk; a few of them provide some empirical analyses. Given this background, we make fundamental efforts to conduct a systematic review on sukuk studies to identify the unexplored research issues on sukuk. Hence the findings of the meta-analysis identify several thematic areas on sukuk, such as: (i) Sukuk characteristics, (ii) sukuk and convention bonds, (iii) sukuk valuations, (iv) sukuk roles in corporate capital structure and (v) key challenges in sukuk market. All in all, this academic effort significantly contributes to enhance our knowledge in Islamic finance and outlines the specific future research agenda.",2018,"['Islamic Finance', 'Sukuk', 'Conventional Financial Instrument', 'Valuation Method', 'Capital Structure Effect', 'Key Challenge']"
book_296,book_296,Sustainable management of affordable housing,https://pureportal.coventry.ac.uk/en/publications/sustainable-management-of-affordable-housing,"['Simon Huston', ' Richard Baines']",{'Simon Huston': 'https://pureportal.coventry.ac.uk/en/persons/simon-huston'},"As human populations continue to expand and migrate to cities, shortages of appropriate affordable dwellings remain a central challenge. After reviewing the backdrop, conundrums and approaches, the chapter outlines a Sustainable Management for Affordable Housing (‘SMAH’) framework and investigates developing and developed country contexts. Definitions of affordable housing vary but it must be both cheap and meet minimum standards for human dignity and flourishing. Philosophically, the extent of and mechanism for government intervention to influence markets is contested but, for housing supply, it spans political economy, planning policy and collaborative local schemes, supported by a comprehensive Land Administrative System. However, in emerging cities housing and food security are intricately linked. In developed nations, with relatively sophisticated logistics, contested politics and lack of investment constrain affordable housing delivery. Nowadays, technology is central but no system can ever resolve the inherent tensions between informed excellence, commercial gain and environmental protection. Rather than a final blueprint, the SMAH sparks continuous dialogue, multi-criteria reflection and policy learning.",15 Nov 2018,['No keywords']
book_297,book_297,"Temporal Stability of Groundwater Depth in the Contemporary Yellow River Delta, Eastern China",https://pureportal.coventry.ac.uk/en/publications/temporal-stability-of-groundwater-depth-in-the-contemporary-yello,"['Ruiyan Wang', ' Simon Huston', ' Yuhuan Li', ' Huiping Ma', ' Yang Peng', ' Lihua Ding']",{'Simon Huston': 'https://pureportal.coventry.ac.uk/en/persons/simon-huston'},"Sustainable development calls for the wise use of groundwater resources. Of particular concern is saline intrusion into productive agricultural land, which is contiguous with densely populated coastal settlements. To reverse saline intrusion in such coastal regions, information about the groundwater depth in terms of its spatio-temporal variability is essential. Using survey data from 2004 to 2007, the research revealed the temporal variation characteristics of groundwater depth in the Contemporary Yellow River Delta. It explored the temporal stability characteristics of groundwater depth by using the coefficient of variation, Spearman rank correlation coefficient, and average relative deviation and standard deviation, and confirmed that the representative point reflected the average groundwater depth of the study area. Results showed that spatial variation of the groundwater depth in the study area was medium, but the variation coefficient of groundwater depth showed the seasonal changes. The spatial variation coefficient was largest in the dry season; the other months were relatively stable. The groundwater depth in the study area had strong temporal stability. The correlation between the Spearman rank correlation coefficient and the time lags showed that the spatial pattern of groundwater depth in the study area was similar across two or three years but the similarity weakened beyond this period. The representative points of the whole area showed a good linear correlation, and were spatially concentrated. In different years or time periods, the representative points were not the same but belonged to the medium groundwater depth grade in the area. The study provides useful guidance for Yellow River irrigation, preventing saline intrusion and the restoration of saline-alkali soils. It offers a theoretical basis for identifying regional satellite groundwater depth monitoring points.",28 Jun 2018,"['sustainable development', 'water resources', 'Contemporary Yellow River Delta', 'groundwater depth', 'temporal stability']"
book_298,book_298,"The Determinants Of Interest Rates In Microfinance: Age, Scale And Organisational Charter",https://pureportal.coventry.ac.uk/en/publications/the-determinants-of-interest-rates-in-micro-banks-age-and-scale,"['Jacinta Nwachukwu', ' Aqsa Aziz', ' Uchenna Tony-Okeke', ' Simplice Asongu']",{'Uchenna Tony-Okeke': 'https://pureportal.coventry.ac.uk/en/persons/uchenna-tony-okeke'},"This study compares the responsiveness of microcredit interest rates with age, scale of lending, and organizational charter. It uses an unbalanced panel of 300 microfinance institutions (MFIs) from 107 developing countries from 2005 to 2015. Three key trends emerge from the results of a 2SLS regression. First, the adoption of formal microbanking practices raises interest rates compared with other forms of microlending. Second, large‐scale lending lowers interest rates only for those MFIs that already hold legal banking status. Third, age of operation in excess of 8 years exerts a negative impact on interest rates, regardless of scale and charter type of MFI. Collectively, our results indicate that policies that incentivize mature MFIs to share their knowledge will be more effective in helping the nascent institutions to overcome their cost disadvantages compared with reforms to transform them into licensed banks. For MFIs that already hold permits to operate as banks, initiatives to increase loan sizes are key strategic pricing decisions, irrespective of the institution's age. This study is original in its differentiation of the impact on interest rates of regulations that promote formal banking principles, credit market extension vis‐à‐vis knowledge sharing between mature and nascent MFIs.",Aug 2018,['No keywords']
book_299,book_299,The development of accounting practices and the adoption of IFRS in selected MENA countries,https://pureportal.coventry.ac.uk/en/publications/the-development-of-accounting-practices-and-the-adoption-of-ifrs-,"['Pran Boolaky', ' Kamil Omoteso', ' Masud Ibrahim', ' Ismail Adelopo']",{'Masud Ibrahim': 'https://pureportal.coventry.ac.uk/en/persons/masud-ibrahim'},"PurposeThe purpose of this paper is to examine the level of accounting development and the adoption of IFRS in the four foremost economies in the Middle East and North Africa (MENA)—Egypt, Jordan, Libya and UAE. Through the lens of institutional theory, the study investigates the impact of economic, political, legal and cultural institutions on the development of these countries’ accounting practices and their readiness to use IFRS.Design/methodology/approachThis research uses accounting development indices obtained from current literature as well as recent World Economic Forum and UNCTAD reports to examine the development of accounting in these MENA countries and their inclination to adopt IFRS.FindingsThe study identifies a number of impediments to the development of accounting practices and adoption of IFRS in these countries. It also reveals that three of the four MENA countries (Egypt, Jordan and UAE) could be placed on a level playing field with their principal trading partners (the US, the UK, Germany and Italy) given the formers’ business environments, methods of raising finance and levels of professional accounting practices.Research Implications/limitationsAlthough limited to only four jurisdictions, findings from the study have important implications for investors and parties that are interested in improving the value relevance of the information presented by firms especially in a globalised economy with increasing cross-listing.Originality/valueThis study extends the frontier of knowledge on the development of accounting and IFRS adoption by focusing on the MENA region. It is the first effort that the authors are aware of to adopt such a multifarious approach.",2018,['No keywords']
book_300,book_300,The Economic Effects of Supply Chain Management on the Automobile Industries in China,https://pureportal.coventry.ac.uk/en/publications/the-economic-effects-of-supply-chain-management-on-the-automobile,['Hafiz Ubaid Ur Rahman Rahmani'],{'Hafiz Ubaid Ur Rahman Rahmani': 'https://pureportal.coventry.ac.uk/en/persons/hafiz-rahmani-rahmani'},"China’s automobile industries had been competitively challenged in recent times. In order to remain competitive relevant in the automobile industries globally, China’s automobile industries had to drive a strategic to channel its automobile production in the right perspective to remain competitive relevant. This led to the launched of a supply chain management by China’s automobile industries. This paper considered the likely positive economic effects of the supply chain management on China’s automobile industries. Firstly, the supply chain tends to open more markets for China’s automotive industries in the ASEAN, EU, and AU regions. Secondly, the supply chain threatens China’s automobile industries control over her local and regional markets from foreign automobile industries as China open their markets  for international automobile industries in order to penetrate into foreign automobile markets. That is the supply chain poses a two-sided coin effect on Chain’s automobile industries.Thirdly, the intention of the China’s automobile industries to developed environmental friendly automobile vehicles (evergreen automobiles) just like their competitors to remain competitive. This paper employed a strategic methodology of comparing the present; China’s automobile industries supply chain management and the intended supply chain management acceptable by the Western’s automobile industries. The sampling of 200 participants of stakeholders that comprised of Western automobile dealers, Western automobile industries representatives, China’s automobile industries representatives, China’s automobile suppliers, EU representatives, and other participants indicated that the posed supply china management has positive economic effects on the China industries.",25 Nov 2018,"['China’s automobile industries', 'Green Supply Chain Management (GSCM)', 'Western’s automobile industries', 'Western customers', 'China’s automobile suppliers', 'supplier disciplined qualifications']"
book_301,book_301,The Impact of Armed Conflict and Terrorism on Foreign Aid: a Sector-Level Analysis,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-armed-conflict-and-terrorism-on-foreign-aid-a-secto,['Piotr Lis'],{'Piotr Lis': 'https://pureportal.coventry.ac.uk/en/persons/piotr-lis'},"We examine whether armed conflict, international and domestic terrorism affect distribution of bilateral and multilateral foreign aid. We argue that the two types of aid may respond differently to security challenges because of donors’ disparate objectives and aid-giving motives. The results show that armed conflict reduces the amounts of obtained aid of all types, conditional on a country being an aid recipient. Multilateral donors are also less likely to include a conflict-ridden country on a recipient list. Domestic terrorism increases bilateral aid, but this effect appears to be entirely driven by assistance from the United States, arguably a terrorist prime-target country. When we disaggregate aid flows by their purposes, we find that international and domestic terrorism are associated with increases in bilateral aid for promotion of governance, education, health and society.",Oct 2018,"['Foreign aid', 'International and domestic terrorism', 'Armed conflict']"
book_302,book_302,The Impact of the 2007-09 and Euro-Zone Crises on Natural Resources Sector Beta in African Emerging Markets: The Impact of the 2007-09 and Euro-Zone Crises on Natural Resources Sector Beta in African Emerging Markets,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-the-2007-09-and-euro-zone-crises-on-natural-resourc,"['Uchenna Tony-Okeke', ' Jaliyyah Ahmadu-Bello', ' Jacek Niklewski', ' Timothy Rodgers']","{'Uchenna Tony-Okeke': 'https://pureportal.coventry.ac.uk/en/persons/uchenna-tony-okeke', 'Jaliyyah Ahmadu-Bello': 'https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello'}","This paper contributes to the literature by extending the interpretation of financial contagion beyond that of the market correlation approach popularised by Forbes and Rigobon (2002). Contagion is explored from the perspective of its impact on the conditional sector-risk Beta of the African Emerging Market natural resources sector. A multi-factor CAPM model is developed within a DCC-MGARCH framework to estimate time-varying Beta. We find that this reacts in different ways to different contagion events. It rose by a statistically significant 0.058 (an 8% increase) in response to the euro-zone crisis. However, with the exception of South Africa, the 2007–09 crisis was found to have no significant impact on Beta. We speculate that the differences found can be attributed to the different ways in which individual contagion events impact on individual markets. From this we conclude that ‘one size fits all’ correlations-based contagion analysis can often hide as much as it reveals.",1 Oct 2018,"['Financial crisis', 'Contagion', 'Conditional beta', 'African emerging markets']"
book_303,book_303,The macroeconomic implications of public healthcare financing: a computable general equilibrium analysis of Uganda,https://pureportal.coventry.ac.uk/en/publications/the-macroeconomic-implications-of-public-healthcare-financing-a-c,"['Judith Kabajulizi', ' Marcus Keogh-Brown', ' Richard Smith']",{'Judith Kabajulizi': 'https://pureportal.coventry.ac.uk/en/persons/judith-kabajulizi'},"Rapid progress to universal healthcare coverage is dependent on adequate resourcing. In low-income-countries, government health expenditure is below the WHO recommended level for universal health coverage and these countries rely heavily on external resources for healthcare financing which is unsustainable. This paper evaluates three options for creating greater domestic fiscal space to support universal health coverage in a more sustainable manner: prioritising the health sector by increasing the health budget share (given a fixed government budget), an earmarked tax for health and increasing foreign aid for health. We use a recursive dynamic computable general equilibrium model to capture the lagged health and healthcare effects. We find that increasing the health share in the general government budget generates higher growth rates in GDP, investment and private consumption, and accelerates poverty reduction in Uganda, leading to increased health, strengthening the case for policy-makers in low- and middle-income countries to frontload investment in healthcare. ",15 Jun 2018,"['Healthcare financing', 'Uganda', 'CGE', 'Economic growth', 'Macroeconomics']"
book_304,book_304,The relative importance of trade verses FDI-led economic growth in Thailand,https://pureportal.coventry.ac.uk/en/publications/the-relative-importance-of-trade-verses-fdi-led-economic-growth-i,"['Sailesh Tanna', ' Kitja Topaiboul', ' Chengchun Li']",{'Sailesh Tanna': 'https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna'},"This chapter investigates the relative strength of the contributions of tradeopenness and FDI inflows towards economic growth of Thailand, taking accountof the importance of human capital and other conditioning factors as a source oftechnology transfer in facilitating growth. Using Granger causality tests conducted within a vector-error-correction framework, the authors find significant evidence of the complementarities between domestic investment and trade openness, providing support for import-led growth. In contrast, direct support for FDI-led growth is relatively weak, which implies that trade openness has played a more significant role than FDI in influencing Thai economic growth. However, the results reveal a subtle role for technology transfer through the complementary effect of trade on FDI, and FDI on government expenditure, which henceforth influences human capital development with spillovers into domestic investment and growth. This leads us to argue that there is a potential role for FDI interacting with human capital in influencing the future development of the Thai economy, given its active policy of FDI promotion over the past decade.",1 Jan 2018,"['Foreign direct investment', 'Trade', 'Economic growth', 'Thailand', 'vector error correction model', 'cointegration']"
book_305,book_305,The role of external debt in the foreign direct investment-growth relationship,https://pureportal.coventry.ac.uk/en/publications/the-role-of-external-debt-in-the-foreign-direct-investment-growth,"['Sailesh Tanna', ' Chengchun Li', ' Glauco De Vita']","{'Sailesh Tanna': 'https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna', 'Glauco De Vita': 'https://pureportal.coventry.ac.uk/en/persons/glauco-de-vita'}","This paper investigates the relevance of external debt as a factor inhibiting economic growth gains to be accrued from foreign direct investment (FDI). We develop a model which formalises a mechanism to allow for the influence of external debt in the transmission of FDI-generated externalities and conduct threshold regressions to test the existence of a debt contingency effect which limits the positive impact of inward FDI on growth. Using annual as well as five-year averaged data for 39 developing countries over the period 1984-2010, our findings support the hypothesis that FDI-induced growth is dependent on the external debt constraint. In particular, we show that beyond a certain threshold high indebtedness constrains economies from reaping growth benefits from FDI as they seek to reduce their debt levels. In this scenario, the evidence also shows that increasing financial development can mitigate the negative influence of high external debt on the FDI-growth nexus.",12 Oct 2018,"['Foreign Direct Investment', 'External Debt', 'Economic growth', 'Treshold Estimation']"
book_306,book_306,The role of foreign direct investment in less developed countries,https://pureportal.coventry.ac.uk/en/publications/the-role-of-foreign-direct-investment-in-less-developed-countries,"['Chengchun Li', ' Sailesh Tanna']",{'Sailesh Tanna': 'https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna'},"This chapter analyses a number of economic and developmental issues in less developed countries (LDCs), reviewing the related literature and outlining thechallenges ahead for LDCs. The issues considered include foreign direct investment (FDI) policies, recent trends on growth, civil conflict, institutional development, financial sector development, external debt, and other macroeconomic factors. These are identified as pertinent areas where LDCs have faced major challenges in their endeavours to improve economic welfare since they are related to the absorptive capacities, which are important for accruing growth benefits from inward FDI in LDCs. It is anticipated that coverage of these issues will enlighten the issues that these countries face in order to attract and utilise inward FDI. Additionally, it is argued that LDCs can avoid the risk of civil conflict by adopting proactive policies to attract FDI.",1 Jan 2018,"['Foreign direct investment', 'conflict']"
book_307,book_307,The role of seaports in regional employment: evidence from South Korea,https://pureportal.coventry.ac.uk/en/publications/the-role-of-seaports-in-regional-employment-evidence-from-south-k-2,"['Jin Suk Park', ' Young-Joon Seo']",{'Jin Suk Park': 'https://pureportal.coventry.ac.uk/en/persons/jin-suk-park'},"This study aims to examine the seaport’s influence on regional employment in all the 16 regions of Korea, including seven metropolitan areas based on panel data between 2002 and 2013. This study expands an economic model of regional unemployment from labour economics and an autoregressive model from econometrics by employing port potentials separately estimated in a Tobit model. The result indicates that port activities significantly reduce regional unemployment rates relative to the national level. The role of population,GDP and household income on unemployment rate was highlighted, whilst various determinants of port potentials were investigated on whether they stimulate port potentials.

海港在区域就业中的角色：来自南韩的证据。Regional Studies. 本研究根据 2002 年至 2013 年的面板数据，检视海港对韩国包含七大都会区的所有十六个区域的区域就业之影响。本文透过运用以杜宾模型分别进行评估的港口潜能，扩张劳动经济学的区域失业经济模型和计量经济学的自迴归模型。研究结果指出，港口活动显着地降低相较于全国的区域失业率。本文强调人口，国内生产总值（GDP）与家户所得在失业率中扮演的角色，同时探讨港口潜能的各种决定因素是否能够刺激港口潜力。

Le rôle des ports maritimes dans l’emploi régional: des résultats provenant de la Corée du Sud. Regional Studies. À partir des données de panel pour la période allant de 2002 et 2013, cette étude examine l’influence des ports maritimes sur l’emploi régional dans toutes les 16 régions de la Corée, y compris sept zones métropolitaines. En employant le potentiel portuaire, qui est estimé séparément au moyen d’un modèle Tobit, il élargit un modèle économique du chômage régional ancré dans l’économie du travail et un modèle autorégressif enraciné dans l’économétrie. Les résultats indiquent que les activités portuaires réduisent sensiblement les taux de chômage régionaux par rapport aux taux nationaux. On souligne l’importance de la taille de la population, du produit interieur brut (Pib) et du revenu ménager sur le taux de chômage, alors que divers déterminants du potentiel portuaire sont examinés afin de savoir si, oui ou non, ils alimentent le potentiel des ports maritimes.

Die Rolle von Seehäfen für die regionale Beschäftigung: Belege aus Südkorea. Regional Studies. In diesem Beitrag untersuchen wir den Einfluss von Seehäfen auf das regionale Beschäftigungsniveau in sämtlichen 16 Regionen Koreas (einschließlich sieben Metropolitanregionen) auf der Grundlage von Paneldaten im Zeitraum von 2002 bis 2013. Hierfür erweitern wir ein arbeitsökonomisches Wirtschaftsmodell der regionalen Arbeitslosigkeit sowie ein autoregressives ökonometrisches Modell durch den Einsatz von separat in einem Tobit-Modell geschätzten Hafenpotenzialen. Aus den Ergebnissen geht hervor, dass die Aktivitäten der Häfen die regionale Arbeitslosigkeit gegenüber dem nationalen Niveau signifikant verringern. Wir verdeutlichen die Rolle der Bevölkerung, des Bruttoinlandsprodukts und des Haushaltseinkommens für die Arbeitslosenquote und untersuchen verschiedene Determinanten der Hafenpotenziale auf ihre Stimulierung der Hafenpotenziale.

El papel de los puertos marítimos en el empleo regional: evidencia de Corea del Sur. Regional Studies. A partir de datos recabados entre 2002 y 2013, en este estudio analizamos la influencia de los puertos marítimos en el empleo regional en todas las 16 regiones coreanas, incluyendo siete áreas metropolitanas. Ampliamos un modelo económico de desempleo regional de los estudios de economía laboral y un modelo autorregresivo de los estudios econométricos mediante las posibilidades de los puertos, calculados por separado en un modelo Tobit. Los resultados indican que las actividades portuarias reducen de manera significativa las tasas de desempleo regional relativo a nivel nacional. Destacamos el papel de la población, el producto interno bruto (PIB) y los ingresos familiares en la tasa de desempleo, y estudiamos los diferentes determinantes de las posibilidades portuarias para conocer si estos factores estimulan las posibilidades portuarias.

Publisher Statement: This is an Accepted Manuscript of an article published by Taylor & Francis in Regional Studies on 19 Jan 2017, available online: http://www.tandfonline.com/10.1080/00343404.2016.1262014  ",2018,"['seaports', 'employment', 'labour economics', 'South Korea', '海港', '就业', '南韩', '劳动经济学', 'ports maritimes', 'emploi', 'économie du travail', 'Corée du Sud', 'Seehäfen', 'Beschäftigung', 'Arbeitsökonomie', 'Südkorea', 'puertos marítimos', 'empleo', 'economía laboral', 'Corea del Sur']"
book_308,book_308,Time Preference for Investment in the Environment: The Impact of Intrinsic Motivation,https://pureportal.coventry.ac.uk/en/publications/time-preference-for-investment-in-the-environment-the-impact-of-i,"['Lory Barile', ' John Cullis', ' Philip Jones']",{},"Insights from behavioural economics suggest that individuals rely on different discount rates to assess the present values of gains and losses (the sign effect). They also suggest that individuals rely on different discount rates to assess investment in financial, environmental and health domains. A first objective is to further consider these valence versus domain effects.   The second, novel, objective is to question whether individuals are likely to employ a higher discount rate for the benefits of investment if they also derive intrinsic value from action. The analysis focuses on perceptions of intrinsic value derived from action to conserve the environment. Will intrinsic motivation increase the sign effect and the difference between the discount rate in different domains? In a questionnaire survey, we collected data from 450 undergraduate students. Participants made choices between hypothetical financial, environmental and health gains and losses that took effect either immediately, or with a delay of 10 years. Results suggest the presence of valence and domain effects and further suggests that intrinsic motivation over action is likely to increase present bias by increasing the sign effect. This dimension of time preference is likely to have an impact on differences between discount rates in different domains. ",1 Sep 2018,['No keywords']
book_309,book_309,Two centuries of farmland prices in England,https://pureportal.coventry.ac.uk/en/publications/two-centuries-of-farmland-prices-in-england,"['A. Jadevicius', ' S. Huston', ' A. Baum', ' A. Butler']",{'S. Huston': 'https://pureportal.coventry.ac.uk/en/persons/simon-huston'},"The dissemination of robust asset price data can help improve market efficiency, resource allocation and investment analysis. Land prices influence housing affordability, food security and the carbon infrastructure. Yet price and return histories for farmland in England are fragmented. To provide perspective, a long farmland price series is needed to improve transparency and bring the asset class into line with commercial and residential real estate. After reviewing the historical backdrop and considering methodology, this research uses a chain-linking approach to construct a long-term farmland price series for England. It then adjusts the series for inflation to examine real land prices. The resulting two-century English farmland prices series contributes to farmland market analysis. Notwithstanding some concerns with long-run chain component heterogeneity, the combined series helps us to understand English average farmland price dynamics. As measured by the geometric mean, English land price real capital returns have been positive over more than two centuries. Farmland real price growth was 0.33 per cent annually from 1781 to 2013 and 0.71 per cent from 1801 to 2013. The series contributes to an understanding of land price dynamics.",2018,"['Chain-linking', 'Farmland', 'Prices', 'Returns', 'England']"
book_310,book_310,Two-stage DEA-Truncated Regression: Application in Banking Efficiency and Financial Development,https://pureportal.coventry.ac.uk/en/publications/two-stage-dea-truncated-regression-application-in-banking-efficie,"['Filipa Da Silva Fernandes', ' Charalampos Stasinakis', ' V. Bardarova']",{},"This study evaluates the efficiency of peripheral European domestic banks and examines the effects of bank-risk determinants on their performance over 2007–2014. Data Envelopment Analysis is utilised on a Malmquist Productivity Index in order to calculate the bank efficiency scores. Next, a Double Bootstrapped Truncated Regression is applied to obtain bias-corrected scores and examine whether changes in the financial conditions affect differently banks’ efficiency levels. The analysis accounts for the sovereign debt crisis period and for different levels of financial development in the countries under study. Such an application in the respective European banking setting is unique. The proposed method also copes with common misspecification problems observed in regression models based on efficiency scores. The results have important policy implications for the Euro area, as they indicate the existence of a periphery efficiency meta-frontier. Liquidity and credit risk are found to negatively affect banks productivity, whereas capital and profit risk have a positive impact on their performance. The crisis period is found to augment these effects, while bank-risk variables affect more banks' efficiency when lower levels of financial development are observed.",15 Apr 2018,"['Data envelopment analysis', 'Truncated regression', 'Bank efficiency', 'Financial development']"
book_311,book_311,UK Consumers’ Perceived Risk of Buying Products from Emerging Economies: A Moderated Mediation Model,https://pureportal.coventry.ac.uk/en/publications/uk-consumers-perceived-risk-of-buying-products-from-emerging-econ-2,"['Weiyue Wang', ' Hongwei He', ' Sunil Sahadev', ' Wei Song']",{'Wei Song': 'https://pureportal.coventry.ac.uk/en/persons/wei-song'},"While considerable research has been conducted on consumer attitude towards foreign products, most of these studies focuses on the attitude of products from Western developed countries. Our study intends to investigate the effects of consumers’ national identification and culture sensitivity on their perceived risk of buying products from Eastern developing countries. Especially, this study advances the literature by identifying the mediation effect of consumer ethnocentrism and the moderating effect of consumer value consciousness. Taking China and India as focal emerging economies, the consumer survey (n=308) in the UK produced the following results. First, UK consumers’ national identification is positively related to their perceived risk of buying eastern products through consumer ethnocentrism, whilst their cultural sensitivity has a negative relationship. Second, the effect of consumer ethnocentrism on the perceived risk of buying eastern products is moderated by consumer value consciousness. Third, value consciousness also attenuates the indirect relationships between national identification / cultural sensitivity and perceived risk via consumer ethnocentrism.",May 2018,"['National identification', 'Cultural sensitivity', 'Consumer ethnocentrism', 'Value consciousness', 'Perceived risk']"
book_312,book_312,Whether Shari’ah compliance efficiency is a matter for the financial performance: The case of Islami Bank Bangladesh Limited,https://pureportal.coventry.ac.uk/en/publications/whether-shariah-compliance-efficiency-is-a-matter-for-the-financi,"['Hafij Ullah', ' Ruma Khanam']",{'Hafij Ullah': 'https://pureportal.coventry.ac.uk/en/persons/hafij-ullah'},"Purpose – Shari’ah is the foundation of Islamic banks. Although all the Islamic banks required complying with the Shari’ah requirements fully, the level of compliance differs among the Islamic banks. At the same time, Islamic banks have been performing well, but all do not demonstrate similar financial performance. This paper aims to explore whether Shari’ah compliance efficiency makes any difference in financial performance of Islami Bank Bangladesh Limited (IBBL).Design/methodology/approach – This study used IBBL as a case. For exploring the issue of study, this paper applied an e-mail interview approach and interviewed 24 interviewees including financial analysts, IBBL clients and executives of regulatory bodies, the IBBL and other Islamic- and interest-based traditional banks. Interview opinions are then analyzed and interpreted for a deeper understanding of the topic.Findings – The study observed that some other factors influence the financial performance of IBBL, but Shari’ah compliance is the dominant instinct of acquiring the leading position. Superior Shari’ah compliance creates internal strengths and external opportunities that facilitate IBBL in achieving higher financial performance. Most interviewees argued that Shari’ah is the only disposition that makes IBBL unique. Moreover, the bank that considerably follows Shari’ah gets better financial outcomes.Research limitations/implications – The study used a qualitative method using interview responses only for evaluating the relationship between Shari’ah compliance and financial performance. Further study may be conducted based on a quantitative approach.Practical implications – This paper expects to uphold the significance of Shari’ah in improving the financial performance of IBBL and simultaneously motivating the parties associated with the Islamic banks in enhancing the level of Shari’ah compliance. Moreover, this study provides new insights into the importanceIslamic banks and their performance in relation to the choice of customers.Originality/value – This study explores the significance of Shari’ah compliance in creating avenues for greater financial performance and develops a model showing the ways how Shari’ah compliance leads Islamic banks to achieve higher financial positions.Keywords Bangladesh, Shari’ah compliance, Financial performance, IBBL, Islamic bank",4 Mar 2018,"['Bangladesh', 'Shari’ah compliance', 'Financial performance', 'IBBL', 'Islamic bank']"
book_313,book_313,‘Individual Failure’ and a Behavioural Public Sector Economics,https://pureportal.coventry.ac.uk/en/publications/individual-failure-and-a-behavioural-public-sector-economics,"['Lory Barile', ' John Cullis', ' Philip Jones']",{},,Feb 2018,['No keywords']
